,ewa,ewc
0,16.1,22.95
1,15.98,22.78
2,16.1,22.94
3,16.31,23.05
4,16.29,23.32
5,16.32,23.12
6,16.27,23.01
7,16.56,23.33
8,16.63,23.23
9,16.96,23.54
10,16.87,23.56
11,16.86,23.17
12,16.3,22.76
13,15.79,22.2
14,16.08,22.29
15,15.39,21.79
16,15.44,21.47
17,15.31,21.55
18,14.81,21.35
19,15.09,21.37
20,14.84,21.15
21,15.11,21.99
22,15.25,22.2
23,15.15,22.1
24,14.96,22.38
25,14.87,22.38
26,15.11,22.6
27,14.88,22.09
28,14.52,21.86
29,14.36,21.44
30,14.08,21.04
31,14.33,21.32
32,14.19,21.02
33,13.34,20.23
34,13.75,20.41
35,14.29,21.0
36,14.11,20.78
37,13.86,20.32
38,13.85,20.29
39,14.23,20.82
40,14.19,20.66
41,14.18,20.78
42,14.22,21.09
43,14.11,20.95
44,14.05,20.93
45,14.86,21.63
46,14.91,21.83
47,15.05,22.07
48,14.79,21.89
49,15.03,21.82
50,15.34,21.82
51,15.32,21.64
52,15.34,21.8
53,15.05,21.67
54,14.87,21.38
55,14.45,21.41
56,14.41,21.0
57,14.32,21.06
58,14.66,21.42
59,14.59,21.09
60,14.48,20.93
61,14.91,21.29
62,14.88,21.56
63,14.78,21.9
64,15.06,21.6
65,15.29,21.83
66,15.12,21.86
67,15.04,21.98
68,14.99,22.24
69,14.95,22.23
70,14.97,22.16
71,14.88,22.19
72,15.05,22.41
73,14.94,22.43
74,15.01,22.26
75,14.86,22.28
76,14.91,22.01
77,15.21,22.36
78,15.27,22.53
79,15.33,22.45
80,15.32,22.4
81,15.55,22.82
82,15.42,23.01
83,15.33,23.04
84,15.03,22.85
85,15.11,22.87
86,15.25,22.94
87,15.56,22.88
88,15.56,22.82
89,15.7,22.83
90,15.81,23.05
91,16.17,23.03
92,15.72,22.63
93,15.5,22.32
94,15.47,22.08
95,14.94,21.54
96,15.0,21.62
97,15.17,21.81
98,15.21,21.58
99,15.18,21.6
100,15.44,21.92
101,15.09,21.58
102,15.07,21.41
103,14.99,21.6
104,14.74,21.51
105,15.0,21.59
106,15.02,21.81
107,15.31,22.12
108,15.33,22.26
109,15.36,22.08
110,15.54,22.01
111,15.3,21.33
112,15.54,21.47
113,15.8,21.79
114,15.6,21.68
115,15.65,21.66
116,15.73,21.65
117,15.78,21.24
118,16.15,21.49
119,16.16,21.87
120,16.4,22.24
121,16.05,21.96
122,16.26,21.94
123,16.37,22.37
124,16.66,22.4
125,16.58,22.5
126,16.61,22.72
127,16.69,23.04
128,17.16,23.18
129,16.86,22.82
130,17.41,22.89
131,17.18,23.22
132,17.56,22.49
133,17.29,22.88
134,17.41,23.03
135,17.66,23.24
136,17.86,23.18
137,17.47,23.34
138,17.43,23.49
139,17.34,23.28
140,17.12,23.1
141,17.38,23.1
142,17.22,23.31
143,17.06,23.1
144,17.24,23.07
145,16.86,23.17
146,17.2,23.52
147,17.57,23.57
148,17.7,23.86
149,17.42,23.64
150,17.86,23.66
151,17.98,23.82
152,18.18,23.85
153,17.81,23.85
154,18.15,24.14
155,18.03,24.25
156,18.16,24.1
157,18.0,24.05
158,17.7,24.06
159,17.98,24.02
160,18.01,23.93
161,18.19,23.89
162,18.56,24.12
163,18.38,23.73
164,18.31,23.49
165,18.32,23.62
166,18.52,23.51
167,18.39,23.2
168,18.47,23.12
169,18.53,22.97
170,18.91,23.35
171,18.99,23.43
172,18.75,23.4
173,18.79,22.83
174,18.35,22.43
175,17.97,22.35
176,18.1,22.19
177,18.23,22.24
178,18.07,22.21
179,18.28,22.32
180,18.67,22.86
181,18.63,22.52
182,18.61,22.78
183,18.75,22.51
184,19.06,22.85
185,19.01,22.57
186,19.51,23.06
187,19.31,23.31
188,18.77,23.05
189,18.78,23.23
190,18.79,23.06
191,19.2,23.33
192,19.17,23.42
193,19.11,23.6
194,19.11,23.44
195,19.22,23.55
196,19.48,23.63
197,19.64,23.52
198,19.78,23.65
199,19.63,23.61
200,19.48,23.51
201,19.94,23.98
202,20.2,24.03
203,20.18,24.26
204,20.24,24.29
205,20.38,24.1
206,20.37,24.38
207,20.54,24.3
208,20.96,24.36
209,21.0,24.5
210,19.71,23.57
211,19.85,23.57
212,19.75,23.33
213,19.67,22.96
214,18.25,22.7
215,19.68,23.05
216,19.42,23.23
217,19.52,23.35
218,19.5,23.56
219,20.09,23.49
220,19.41,22.94
221,19.82,23.02
222,20.25,23.14
223,20.09,23.08
224,20.46,23.31
225,20.79,23.68
226,21.02,24.11
227,21.12,24.04
228,21.0,24.18
229,21.62,24.26
230,21.06,24.19
231,20.73,24.09
232,20.97,24.3
233,21.2,24.23
234,21.26,24.43
235,21.73,24.73
236,21.95,24.66
237,22.08,24.84
238,22.07,24.88
239,22.6,24.83
240,22.36,25.0
241,22.78,25.34
242,22.81,25.42
243,23.02,25.83
244,23.1,25.67
245,23.11,25.8
246,22.83,25.48
247,22.96,25.85
248,22.87,25.77
249,22.45,25.67
250,22.96,26.1
251,22.7,25.73
252,22.62,25.96
253,22.34,25.83
254,22.38,25.58
255,22.91,26.04
256,22.83,26.26
257,23.11,26.45
258,23.1,26.81
259,23.03,26.78
260,23.5,26.77
261,23.05,26.48
262,23.47,26.91
263,23.35,26.81
264,23.31,27.15
265,23.05,27.21
266,23.24,27.58
267,23.34,27.81
268,23.25,27.96
269,23.04,27.76
270,23.2,27.71
271,22.35,27.53
272,22.9,27.88
273,22.84,27.89
274,22.83,28.15
275,23.15,28.18
276,23.44,28.54
277,23.71,28.62
278,23.75,28.5
279,23.35,28.11
280,23.16,27.41
281,23.43,27.73
282,23.6,27.6
283,22.92,27.44
284,23.27,27.88
285,23.35,28.21
286,23.75,28.66
287,23.88,28.74
288,24.24,28.5
289,24.2,28.06
290,24.27,28.13
291,24.1,27.91
292,24.3,27.65
293,23.8,27.23
294,23.25,27.47
295,23.74,27.83
296,23.72,27.94
297,24.37,28.31
298,24.27,28.4
299,24.6,28.62
300,24.7,28.92
301,24.94,28.98
302,24.57,28.8
303,24.6,28.83
304,25.1,29.51
305,25.18,29.78
306,25.22,29.58
307,25.12,29.68
308,25.09,30.08
309,25.45,30.27
310,25.38,30.0
311,25.6,29.78
312,25.24,29.26
313,25.35,29.19
314,23.73,28.24
315,22.75,27.78
316,23.38,27.91
317,23.29,27.94
318,22.79,27.67
319,23.05,28.26
320,22.05,27.68
321,22.73,27.54
322,22.97,27.61
323,23.74,28.28
324,22.54,27.37
325,22.6,27.45
326,22.66,27.38
327,21.62,26.63
328,20.46,25.95
329,19.39,25.6
330,20.18,26.5
331,21.1,26.76
332,21.0,26.87
333,21.85,27.36
334,22.67,27.56
335,23.1,27.85
336,22.9,27.58
337,22.08,26.82
338,23.03,27.92
339,22.37,27.5
340,23.19,27.98
341,23.72,28.37
342,22.85,28.15
343,23.59,28.32
344,23.06,28.05
345,23.09,27.92
346,24.12,28.39
347,23.8,28.76
348,24.14,28.98
349,24.19,29.17
350,23.66,29.16
351,24.59,30.01
352,25.24,29.84
353,25.27,30.02
354,25.45,30.24
355,25.78,30.25
356,26.21,30.35
357,26.55,30.45
358,26.8,30.75
359,27.04,30.81
360,27.84,31.23
361,27.51,30.97
362,27.38,30.64
363,27.34,31.03
364,27.89,31.66
365,27.45,31.51
366,28.31,31.67
367,28.27,31.85
368,28.5,31.8
369,28.73,32.31
370,28.25,31.81
371,27.58,31.5
372,27.67,31.88
373,28.35,32.55
374,27.08,31.64
375,27.17,31.73
376,28.02,31.86
377,28.11,31.9
378,28.2,31.98
379,29.17,32.62
380,29.57,33.23
381,29.09,32.89
382,29.96,34.16
383,28.63,33.21
384,28.99,33.99
385,28.25,33.73
386,28.92,34.5
387,28.36,33.63
388,28.65,33.08
389,27.46,32.32
390,26.01,30.75
391,27.49,31.54
392,27.5,31.34
393,26.51,29.98
394,26.89,30.41
395,26.09,29.6
396,26.65,30.09
397,25.44,29.29
398,25.81,29.93
399,25.35,30.01
400,25.9,29.5
401,26.9,30.38
402,26.61,30.49
403,26.89,29.99
404,26.76,29.88
405,26.34,29.28
406,26.73,29.69
407,27.33,30.02
408,27.01,30.15
409,27.62,30.35
410,26.77,29.48
411,27.15,29.79
412,26.92,29.53
413,25.57,29.36
414,24.45,29.11
415,24.59,29.08
416,24.45,29.25
417,24.48,29.38
418,25.25,30.04
419,25.53,30.57
420,25.56,30.69
421,25.37,30.67
422,25.65,31.01
423,25.35,30.58
424,25.31,30.87
425,25.45,31.01
426,24.62,30.2
427,24.55,29.75
428,24.3,29.56
429,24.65,29.64
430,25.07,29.77
431,24.2,29.27
432,24.67,29.54
433,23.53,28.7
434,23.17,27.88
435,22.24,27.03
436,22.62,27.0
437,21.39,26.83
438,21.43,27.12
439,22.48,28.05
440,23.32,28.11
441,23.78,28.05
442,23.39,28.67
443,22.73,28.72
444,23.41,28.75
445,24.96,29.39
446,24.3,28.87
447,22.99,28.23
448,22.8,28.31
449,22.78,28.03
450,22.76,28.51
451,22.91,28.82
452,23.27,28.76
453,22.79,29.3
454,22.86,29.05
455,23.26,28.85
456,23.37,29.04
457,23.05,29.5
458,22.98,29.48
459,23.36,29.64
460,24.21,30.42
461,24.48,31.0
462,24.75,31.0
463,24.34,31.42
464,23.07,30.48
465,23.35,30.24
466,22.61,29.87
467,23.13,30.48
468,22.34,29.84
469,21.75,29.5
470,21.26,28.72
471,22.29,29.6
472,22.17,29.61
473,22.4,30.11
474,21.81,29.69
475,21.24,28.6
476,21.89,29.16
477,21.44,27.49
478,21.37,27.49
479,22.05,28.17
480,22.05,28.91
481,22.56,28.97
482,22.38,28.97
483,22.31,28.73
484,22.29,28.78
485,22.92,29.15
486,23.23,29.57
487,23.79,29.98
488,24.12,30.09
489,24.2,30.1
490,24.21,30.15
491,23.54,30.05
492,23.47,30.38
493,23.03,29.71
494,22.8,29.95
495,23.33,30.24
496,24.42,31.44
497,23.91,31.21
498,23.9,31.62
499,24.71,31.87
500,24.39,31.9
501,24.92,30.98
502,24.46,30.8
503,24.46,31.12
504,24.3,31.1
505,23.99,30.46
506,24.31,30.93
507,24.49,30.83
508,24.96,31.37
509,25.14,31.51
510,25.37,32.22
511,24.39,31.96
512,25.15,32.22
513,25.32,32.4
514,26.05,32.92
515,25.79,32.74
516,25.96,32.73
517,26.41,33.34
518,26.85,33.79
519,26.72,33.86
520,26.28,34.22
521,26.0,33.81
522,26.17,33.88
523,25.66,33.6
524,25.8,32.91
525,25.66,33.44
526,25.54,33.15
527,25.8,33.48
528,25.37,33.38
529,24.71,32.87
530,24.6,32.62
531,25.13,33.36
532,24.55,33.13
533,24.23,33.09
534,23.85,32.43
535,23.61,32.69
536,23.18,32.19
537,23.62,32.44
538,23.39,33.0
539,23.86,33.48
540,23.78,33.45
541,23.92,32.86
542,23.16,32.28
543,23.26,32.53
544,23.28,32.07
545,23.48,31.93
546,23.07,31.57
547,23.43,31.71
548,23.0,31.62
549,22.51,31.71
550,22.1,31.0
551,22.08,30.76
552,21.85,30.29
553,22.0,30.41
554,21.65,30.13
555,22.1,30.5
556,21.79,30.34
557,21.98,30.51
558,21.5,29.63
559,22.15,30.13
560,22.2,29.93
561,22.02,30.09
562,22.75,30.6
563,22.75,30.33
564,22.99,29.99
565,22.41,29.03
566,22.23,29.33
567,21.29,29.01
568,21.51,29.11
569,21.7,30.0
570,21.41,29.82
571,20.72,29.27
572,20.49,28.27
573,20.7,28.37
574,20.9,28.72
575,20.48,28.3
576,20.51,27.82
577,20.42,27.64
578,20.14,27.56
579,19.87,28.02
580,19.72,28.06
581,19.59,27.59
582,19.56,27.44
583,19.28,27.44
584,19.8,28.09
585,19.81,28.97
586,19.84,28.71
587,19.51,28.23
588,19.57,28.29
589,19.87,28.88
590,20.49,29.21
591,20.35,28.85
592,19.77,27.77
593,19.52,27.56
594,18.2,26.59
595,18.12,26.81
596,18.92,26.45
597,17.6,25.17
598,17.98,25.91
599,17.77,26.33
600,18.79,26.88
601,17.19,25.43
602,17.47,25.59
603,16.27,24.78
604,17.27,25.44
605,18.82,27.48
606,19.21,27.6
607,18.96,27.34
608,19.23,27.18
609,19.56,27.13
